ftitle,fsubtitle,btitle,bsubtitle,audio
収める,(おさめる),"to obtain,to reap,to pay,to supply,to accept",,[sound:収める.wav]
"to obtain,to reap,to pay,to supply,to accept",,収める,(おさめる),[sound:収める.wav]
おしゃべり,,"chattering,talk,idle talk",,[sound:おしゃべり.wav]
"chattering,talk,idle talk",,おしゃべり,,[sound:おしゃべり.wav]
汚染,(おせん),"pollution,contamination",,[sound:汚染.wav]
"pollution,contamination",,汚染,(おせん),[sound:汚染.wav]
おそらく,,perhaps,,[sound:おそらく.wav]
perhaps,,おそらく,,[sound:おそらく.wav]
恐れる,(おそれる),"to fear,to be afraid of",,[sound:恐れる.wav]
"to fear,to be afraid of",,恐れる,(おそれる),[sound:恐れる.wav]
恐ろしい,(おそろしい),"terrible,dreadful",,[sound:恐ろしい.wav]
"terrible,dreadful",,恐ろしい,(おそろしい),[sound:恐ろしい.wav]
お互い,(おたがい),"mutual,reciprocal,each other",,[sound:お互い.wav]
"mutual,reciprocal,each other",,お互い,(おたがい),[sound:お互い.wav]
穏やか,(おだやか),"calm,gentle,quiet",,[sound:穏やか.wav]
"calm,gentle,quiet",,穏やか,(おだやか),[sound:穏やか.wav]
男の人,(おとこのひと),man,,[sound:男の人.wav]
man,,男の人,(おとこのひと),[sound:男の人.wav]
劣る,(おとる),"to fall behind,to be inferior to",,[sound:劣る.wav]
"to fall behind,to be inferior to",,劣る,(おとる),[sound:劣る.wav]
お腹,(おなか),stomach,,[sound:お腹.wav]
stomach,,お腹,(おなか),[sound:お腹.wav]
鬼,(おに),"ogre,demon,it (i.e., in a game of tag)",,[sound:鬼.wav]
"ogre,demon,it (i.e., in a game of tag)",,鬼,(おに),[sound:鬼.wav]
帯,(おび),"band (e.g. conduction, valence)",,[sound:帯.wav]
"band (e.g. conduction, valence)",,帯,(おび),[sound:帯.wav]
お昼,(おひる),"lunch,noon",,[sound:お昼.wav]
"lunch,noon",,お昼,(おひる),[sound:お昼.wav]
オフィス,,office,,[sound:オフィス.wav]
office,,オフィス,,[sound:オフィス.wav]
溺れる,(おぼれる),"to be drowned,to indulge in",,[sound:溺れる.wav]
"to be drowned,to indulge in",,溺れる,(おぼれる),[sound:溺れる.wav]
おまえ,,"(fam) you (sing),presence (of a high personage)",,[sound:おまえ.wav]
"(fam) you (sing),presence (of a high personage)",,おまえ,,[sound:おまえ.wav]
お目出度う,(おめでとう),"Congratulations!,an auspicious occasion!",,[sound:お目出度う.wav]
"Congratulations!,an auspicious occasion!",,お目出度う,(おめでとう),[sound:お目出度う.wav]
お目に掛かる,(おめにかかる),,,[sound:お目に掛かる.wav]
,,お目に掛かる,(おめにかかる),[sound:お目に掛かる.wav]
思い出,(おもいで),"memories,recollections,reminiscence",,[sound:思い出.wav]
"memories,recollections,reminiscence",,思い出,(おもいで),[sound:思い出.wav]
主に,(おもに),"mainly,primarily",,[sound:主に.wav]
