ftitle,fsubtitle,btitle,bsubtitle,audio
きっかけ,,"chance,start,cue,excuse",,[sound:きっかけ.wav]
"chance,start,cue,excuse",,きっかけ,,[sound:きっかけ.wav]
ぎっしり,,"tightly,fully",,[sound:ぎっしり.wav]
"tightly,fully",,ぎっしり,,[sound:ぎっしり.wav]
基盤,(きばん),"foundation,basis",,[sound:基盤.wav]
"foundation,basis",,基盤,(きばん),[sound:基盤.wav]
客席,(きゃくせき),guest seating,,[sound:客席.wav]
guest seating,,客席,(きゃくせき),[sound:客席.wav]
客間,(きゃくま),"parlor,guest room",,[sound:客間.wav]
"parlor,guest room",,客間,(きゃくま),[sound:客間.wav]
ギャング,,gang,,[sound:ギャング.wav]
gang,,ギャング,,[sound:ギャング.wav]
キャンパス,,campus,,[sound:キャンパス.wav]
campus,,キャンパス,,[sound:キャンパス.wav]
休業,(きゅうぎょう),"closed (e.g. store),business suspended,shutdown,holiday",,[sound:休業.wav]
"closed (e.g. store),business suspended,shutdown,holiday",,休業,(きゅうぎょう),[sound:休業.wav]
休講,(きゅうこう),lecture cancelled,,[sound:休講.wav]
lecture cancelled,,休講,(きゅうこう),[sound:休講.wav]
休息,(きゅうそく),"rest,relief,relaxation",,[sound:休息.wav]
"rest,relief,relaxation",,休息,(きゅうそく),[sound:休息.wav]
給与,(きゅうよ),"allowance,grant,supply",,[sound:給与.wav]
"allowance,grant,supply",,給与,(きゅうよ),[sound:給与.wav]
休養,(きゅうよう),"rest,break,recreation",,[sound:休養.wav]
"rest,break,recreation",,休養,(きゅうよう),[sound:休養.wav]
清い,(きよい),"clear,pure,noble",,[sound:清い.wav]
"clear,pure,noble",,清い,(きよい),[sound:清い.wav]
強化,(きょうか),"strengthen,intensify,reinforce,solidify",,[sound:強化.wav]
"strengthen,intensify,reinforce,solidify",,強化,(きょうか),[sound:強化.wav]
境界,(きょうかい),boundary,,[sound:境界.wav]
boundary,,境界,(きょうかい),[sound:境界.wav]
行事,(ぎょうじ),"event,function",,[sound:行事.wav]
"event,function",,行事,(ぎょうじ),[sound:行事.wav]
恐縮,(きょうしゅく),"shame,very kind of you,sorry to trouble",,[sound:恐縮.wav]
"shame,very kind of you,sorry to trouble",,恐縮,(きょうしゅく),[sound:恐縮.wav]
教養,(きょうよう),"culture,education,refinement,cultivation",,[sound:教養.wav]
"culture,education,refinement,cultivation",,教養,(きょうよう),[sound:教養.wav]
行列,(ぎょうれつ),"(1) line,procession,(2) matrix (math)",,[sound:行列.wav]
"(1) line,procession,(2) matrix (math)",,行列,(ぎょうれつ),[sound:行列.wav]
漁業,(ぎょぎょう),fishing (industry),,[sound:漁業.wav]
fishing (industry),,漁業,(ぎょぎょう),[sound:漁業.wav]
曲線,(きょくせん),curve,,[sound:曲線.wav]
curve,,曲線,(きょくせん),[sound:曲線.wav]
規律,(きりつ),"order,rules,law",,[sound:規律.wav]
"order,rules,law",,規律,(きりつ),[sound:規律.wav]
斬る,(きる),"(v5r) to behead,to murder",,[sound:斬る.wav]
"(v5r) to behead,to murder",,斬る,(きる),[sound:斬る.wav]
気を付ける,(きをつける),"to be careful,to pay attention,to take care",,[sound:気を付ける.wav]
"to be careful,to pay attention,to take care",,気を付ける,(きをつける),[sound:気を付ける.wav]
金魚,(きんぎょ),goldfish,,[sound:金魚.wav]
goldfish,,金魚,(きんぎょ),[sound:金魚.wav]
区域,(くいき),"limits,boundary,domain,zone,sphere,territory",,[sound:区域.wav]
"limits,boundary,domain,zone,sphere,territory",,区域,(くいき),[sound:区域.wav]
偶数,(ぐうすう),even number,,[sound:偶数.wav]
even number,,偶数,(ぐうすう),[sound:偶数.wav]
空想,(くうそう),"daydream,fantasy,fancy,vision",,[sound:空想.wav]
"daydream,fantasy,fancy,vision",,空想,(くうそう),[sound:空想.wav]
空中,(くうちゅう),"sky,air",,[sound:空中.wav]
"sky,air",,空中,(くうちゅう),[sound:空中.wav]
クーラー,,"cooler,air conditioner",,[sound:クーラー.wav]
"cooler,air conditioner",,クーラー,,[sound:クーラー.wav]
釘,(くぎ),nail,,[sound:釘.wav]
nail,,釘,(くぎ),[sound:釘.wav]
区切る,(くぎる),"to punctuate,to cut off,to mark off,to stop,to put an end to",,[sound:区切る.wav]
"to punctuate,to cut off,to mark off,to stop,to put an end to",,区切る,(くぎる),[sound:区切る.wav]
櫛,(くし),comb,,[sound:櫛.wav]
comb,,櫛,(くし),[sound:櫛.wav]
くしゃみ,,sneeze,,[sound:くしゃみ.wav]
sneeze,,くしゃみ,,[sound:くしゃみ.wav]
苦情,(くじょう),"complaint,troubles,objection",,[sound:苦情.wav]
"complaint,troubles,objection",,苦情,(くじょう),[sound:苦情.wav]
苦心,(くしん),"pain,trouble",,[sound:苦心.wav]
"pain,trouble",,苦心,(くしん),[sound:苦心.wav]
屑,(くず),"waste,scrap",,[sound:屑.wav]
"waste,scrap",,屑,(くず),[sound:屑.wav]
崩す,(くずす),"to destroy,to pull down,to make change (money)",,[sound:崩す.wav]
"to destroy,to pull down,to make change (money)",,崩す,(くずす),[sound:崩す.wav]
薬指,(くすりゆび),ring finger,,[sound:薬指.wav]
ring finger,,薬指,(くすりゆび),[sound:薬指.wav]
崩れる,(くずれる),"to collapse,to crumble",,[sound:崩れる.wav]
"to collapse,to crumble",,崩れる,(くずれる),[sound:崩れる.wav]
砕く,(くだく),"to break,to smash",,[sound:砕く.wav]
"to break,to smash",,砕く,(くだく),[sound:砕く.wav]
砕ける,(くだける),"to break,to be broken",,[sound:砕ける.wav]
"to break,to be broken",,砕ける,(くだける),[sound:砕ける.wav]
くたびれる,,"to get tired,to wear out",,[sound:くたびれる.wav]
"to get tired,to wear out",,くたびれる,,[sound:くたびれる.wav]
くだらない,,"good-for-nothing,stupid,trivial,worthless",,[sound:くだらない.wav]
"good-for-nothing,stupid,trivial,worthless",,くだらない,,[sound:くだらない.wav]
下る,(くだる),"to get down,to descend",,[sound:下る.wav]
"to get down,to descend",,下る,(くだる),[sound:下る.wav]
唇,(くちびる),lips,,[sound:唇.wav]
lips,,唇,(くちびる),[sound:唇.wav]
口紅,(くちべに),lipstick,,[sound:口紅.wav]
lipstick,,口紅,(くちべに),[sound:口紅.wav]
くっつく,,"to adhere to,to keep close to",,[sound:くっつく.wav]
"to adhere to,to keep close to",,くっつく,,[sound:くっつく.wav]
くっつける,,to attach,,[sound:くっつける.wav]
to attach,,くっつける,,[sound:くっつける.wav]
くどい,,"verbose,importunate,heavy (taste)",,[sound:くどい.wav]
"verbose,importunate,heavy (taste)",,くどい,,[sound:くどい.wav]
句読点,(くとうてん),punctuation marks,,[sound:句読点.wav]
punctuation marks,,句読点,(くとうてん),[sound:句読点.wav]
配る,(くばる),"to distribute,to deliver",,[sound:配る.wav]
"to distribute,to deliver",,配る,(くばる),[sound:配る.wav]
工夫,(くふう),"labourer,worker",,[sound:工夫.wav]
"labourer,worker",,工夫,(くふう),[sound:工夫.wav]
区分,(くぶん),"division,section,classification",,[sound:区分.wav]
"division,section,classification",,区分,(くぶん),[sound:区分.wav]
組合せ,(くみあわせ),combination,,[sound:組合せ.wav]
combination,,組合せ,(くみあわせ),[sound:組合せ.wav]
組み立てる,(くみたてる),"to assemble,to set up,to construct",,[sound:組み立てる.wav]
"to assemble,to set up,to construct",,組み立てる,(くみたてる),[sound:組み立てる.wav]
汲む,(くむ),"(1) to draw (water),to dip,to scoop,to pump",,[sound:汲む.wav]
"(1) to draw (water),to dip,to scoop,to pump",,汲む,(くむ),[sound:汲む.wav]
酌む,(くむ),to serve sake,,[sound:酌む.wav]
to serve sake,,酌む,(くむ),[sound:酌む.wav]
悔しい,(くやしい),"regrettable,mortifying,vexing",,[sound:悔しい.wav]
"regrettable,mortifying,vexing",,悔しい,(くやしい),[sound:悔しい.wav]
悔やむ,(くやむ),to mourn,,[sound:悔やむ.wav]
to mourn,,悔やむ,(くやむ),[sound:悔やむ.wav]
クリーニング,,"cleaning,dry cleaning,laundry service",,[sound:クリーニング.wav]
"cleaning,dry cleaning,laundry service",,クリーニング,,[sound:クリーニング.wav]
くるむ,,"to be engulfed in,to be enveloped by,to wrap up",,[sound:くるむ.wav]
"to be engulfed in,to be enveloped by,to wrap up",,くるむ,,[sound:くるむ.wav]
くれぐれも,,"repeatedly,sincerely,earnestly",,[sound:くれぐれも.wav]
"repeatedly,sincerely,earnestly",,くれぐれも,,[sound:くれぐれも.wav]
咥える,(くわえる),,,[sound:咥える.wav]
,,咥える,(くわえる),[sound:咥える.wav]
郡,(ぐん),"country,district",,[sound:郡.wav]
"country,district",,郡,(ぐん),[sound:郡.wav]
稽古,(けいこ),"practice,training,study",,[sound:稽古.wav]
"practice,training,study",,稽古,(けいこ),[sound:稽古.wav]
敬語,(けいご),"honorific,term of respect",,[sound:敬語.wav]
"honorific,term of respect",,敬語,(けいご),[sound:敬語.wav]
蛍光灯,(けいこうとう),"fluorescent lamp,person who is slow to react",,[sound:蛍光灯.wav]
"fluorescent lamp,person who is slow to react",,蛍光灯,(けいこうとう),[sound:蛍光灯.wav]
形式,(けいしき),"form,formality,format,math expression",,[sound:形式.wav]
"form,formality,format,math expression",,形式,(けいしき),[sound:形式.wav]
継続,(けいぞく),continuation,,[sound:継続.wav]
continuation,,継続,(けいぞく),[sound:継続.wav]
毛糸,(けいと),knitting wool,,[sound:毛糸.wav]
knitting wool,,毛糸,(けいと),[sound:毛糸.wav]
経度,(けいど),longitude,,[sound:経度.wav]
longitude,,経度,(けいど),[sound:経度.wav]
系統,(けいとう),"system,family line,geological formation",,[sound:系統.wav]
"system,family line,geological formation",,系統,(けいとう),[sound:系統.wav]
芸能,(げいのう),"public entertainment,accomplishments,attainments",,[sound:芸能.wav]
"public entertainment,accomplishments,attainments",,芸能,(げいのう),[sound:芸能.wav]
競馬,(けいば),horse racing,,[sound:競馬.wav]
horse racing,,競馬,(けいば),[sound:競馬.wav]
警備,(けいび),"defense,guard,policing,security",,[sound:警備.wav]
"defense,guard,policing,security",,警備,(けいび),[sound:警備.wav]
形容詞,(けいようし),true adjective,,[sound:形容詞.wav]
true adjective,,形容詞,(けいようし),[sound:形容詞.wav]
形容動詞,(けいようどうし),"adjectival noun,quasi-adjective",,[sound:形容動詞.wav]
"adjectival noun,quasi-adjective",,形容動詞,(けいようどうし),[sound:形容動詞.wav]
外科,(げか),surgical department,,[sound:外科.wav]
surgical department,,外科,(げか),[sound:外科.wav]
毛皮,(けがわ),"fur,skin,pelt",,[sound:毛皮.wav]
"fur,skin,pelt",,毛皮,(けがわ),[sound:毛皮.wav]
激増,(げきぞう),sudden increase,,[sound:激増.wav]
sudden increase,,激増,(げきぞう),[sound:激増.wav]
下車,(げしゃ),"alighting,getting off",,[sound:下車.wav]
"alighting,getting off",,下車,(げしゃ),[sound:下車.wav]
下旬,(げじゅん),month (last third of),,[sound:下旬.wav]
month (last third of),,下旬,(げじゅん),[sound:下旬.wav]
下水,(げすい),"drainage,sewage,ditch,gutter,sewerage",,[sound:下水.wav]
"drainage,sewage,ditch,gutter,sewerage",,下水,(げすい),[sound:下水.wav]
削る,(けずる),"to cut down little by little,to take a percentage",,[sound:削る.wav]
"to cut down little by little,to take a percentage",,削る,(けずる),[sound:削る.wav]
桁,(けた),"column,beam,digit",,[sound:桁.wav]
"column,beam,digit",,桁,(けた),[sound:桁.wav]
下駄,(げた),"geta (Japanese footwear),wooden clogs",,[sound:下駄.wav]
"geta (Japanese footwear),wooden clogs",,下駄,(げた),[sound:下駄.wav]
血圧,(けつあつ),blood pressure,,[sound:血圧.wav]
blood pressure,,血圧,(けつあつ),[sound:血圧.wav]
血液,(けつえき),blood,,[sound:血液.wav]
blood,,血液,(けつえき),[sound:血液.wav]
月給,(げっきゅう),monthly salary,,[sound:月給.wav]
monthly salary,,月給,(げっきゅう),[sound:月給.wav]
傑作,(けっさく),"masterpiece,best work,boner,blunder",,[sound:傑作.wav]
"masterpiece,best work,boner,blunder",,傑作,(けっさく),[sound:傑作.wav]
月末,(げつまつ),end of the month,,[sound:月末.wav]
end of the month,,月末,(げつまつ),[sound:月末.wav]
気配,(けはい),"indication,market trend,worry",,[sound:気配.wav]
"indication,market trend,worry",,気配,(けはい),[sound:気配.wav]
下品,(げひん),"vulgarity,meanness,indecency,coarseness",,[sound:下品.wav]
"vulgarity,meanness,indecency,coarseness",,下品,(げひん),[sound:下品.wav]
煙い,(けむい),smoky,,[sound:煙い.wav]
smoky,,煙い,(けむい),[sound:煙い.wav]
蹴る,(ける),to kick,,[sound:蹴る.wav]
to kick,,蹴る,(ける),[sound:蹴る.wav]
険しい,(けわしい),"inaccessible place,sharp eyes",,[sound:険しい.wav]
"inaccessible place,sharp eyes",,険しい,(けわしい),[sound:険しい.wav]
見学,(けんがく),"inspection,study by observation,field trip",,[sound:見学.wav]
"inspection,study by observation,field trip",,見学,(けんがく),[sound:見学.wav]
謙虚,(けんきょ),"modesty,humility",,[sound:謙虚.wav]
"modesty,humility",,謙虚,(けんきょ),[sound:謙虚.wav]
原稿,(げんこう),"manuscript,copy",,[sound:原稿.wav]
"manuscript,copy",,原稿,(げんこう),[sound:原稿.wav]
原産,(げんさん),"place of origin,habitat",,[sound:原産.wav]
"place of origin,habitat",,原産,(げんさん),[sound:原産.wav]
原始,(げんし),"origin,primeval",,[sound:原始.wav]
"origin,primeval",,原始,(げんし),[sound:原始.wav]
研修,(けんしゅう),training,,[sound:研修.wav]
training,,研修,(けんしゅう),[sound:研修.wav]
厳重,(げんじゅう),"strict,rigour,severe,firm",,[sound:厳重.wav]
"strict,rigour,severe,firm",,厳重,(げんじゅう),[sound:厳重.wav]
謙遜,(けんそん),"humble,humility,modesty",,[sound:謙遜.wav]
"humble,humility,modesty",,謙遜,(けんそん),[sound:謙遜.wav]
県庁,(けんちょう),prefectural office,,[sound:県庁.wav]
prefectural office,,県庁,(けんちょう),[sound:県庁.wav]
限度,(げんど),"limit,bounds",,[sound:限度.wav]
"limit,bounds",,限度,(げんど),[sound:限度.wav]
現に,(げんに),"actually,really",,[sound:現に.wav]
"actually,really",,現に,(げんに),[sound:現に.wav]
顕微鏡,(けんびきょう),microscope,,[sound:顕微鏡.wav]
microscope,,顕微鏡,(けんびきょう),[sound:顕微鏡.wav]
原理,(げんり),"principle,theory,fundamental truth",,[sound:原理.wav]
"principle,theory,fundamental truth",,原理,(げんり),[sound:原理.wav]
原料,(げんりょう),raw materials,,[sound:原料.wav]
raw materials,,原料,(げんりょう),[sound:原料.wav]
碁,(ご),Go (board game of capturing territory),,[sound:碁.wav]
Go (board game of capturing territory),,碁,(ご),[sound:碁.wav]
恋しい,(こいしい),"(1) dear,beloved,darling,(2) yearned for",,[sound:恋しい.wav]
"(1) dear,beloved,darling,(2) yearned for",,恋しい,(こいしい),[sound:恋しい.wav]
請う,(こう),"to ask,to request",,[sound:請う.wav]
"to ask,to request",,請う,(こう),[sound:請う.wav]
工員,(こういん),factory worker,,[sound:工員.wav]
factory worker,,工員,(こういん),[sound:工員.wav]
強引,(ごういん),"overbearing,coercive,pushy,forcible,high-handed",,[sound:強引.wav]
"overbearing,coercive,pushy,forcible,high-handed",,強引,(ごういん),[sound:強引.wav]
公害,(こうがい),"public nuisance,pollution",,[sound:公害.wav]
"public nuisance,pollution",,公害,(こうがい),[sound:公害.wav]
高級,(こうきゅう),"high class,high grade",,[sound:高級.wav]
"high class,high grade",,高級,(こうきゅう),[sound:高級.wav]
公共,(こうきょう),"public,community,public service,society,communal",,[sound:公共.wav]
"public,community,public service,society,communal",,公共,(こうきょう),[sound:公共.wav]
工芸,(こうげい),industrial arts,,[sound:工芸.wav]
industrial arts,,工芸,(こうげい),[sound:工芸.wav]
孝行,(こうこう),filial piety,,[sound:孝行.wav]
filial piety,,孝行,(こうこう),[sound:孝行.wav]
交差,(こうさ),cross,,[sound:交差.wav]
cross,,交差,(こうさ),[sound:交差.wav]
講師,(こうし),lecturer,,[sound:講師.wav]
lecturer,,講師,(こうし),[sound:講師.wav]
工事,(こうじ),construction work,,[sound:工事.wav]
construction work,,工事,(こうじ),[sound:工事.wav]
公式,(こうしき),"formula,formality,official",,[sound:公式.wav]
"formula,formality,official",,公式,(こうしき),[sound:公式.wav]
口実,(こうじつ),excuse,,[sound:口実.wav]
excuse,,口実,(こうじつ),[sound:口実.wav]
こうして,,thus,,[sound:こうして.wav]
thus,,こうして,,[sound:こうして.wav]
校舎,(こうしゃ),school building,,[sound:校舎.wav]
school building,,校舎,(こうしゃ),[sound:校舎.wav]
公衆,(こうしゅう),the public,,[sound:公衆.wav]
the public,,公衆,(こうしゅう),[sound:公衆.wav]
香水,(こうすい),perfume,,[sound:香水.wav]
perfume,,香水,(こうすい),[sound:香水.wav]
公正,(こうせい),"justice,fairness,impartiality",,[sound:公正.wav]
"justice,fairness,impartiality",,公正,(こうせい),[sound:公正.wav]
功績,(こうせき),"achievements,merit,meritorious service,meritorious deed",,[sound:功績.wav]
"achievements,merit,meritorious service,meritorious deed",,功績,(こうせき),[sound:功績.wav]
光線,(こうせん),"beam,light ray",,[sound:光線.wav]
"beam,light ray",,光線,(こうせん),[sound:光線.wav]
高層,(こうそう),upper,,[sound:高層.wav]
upper,,高層,(こうそう),[sound:高層.wav]
構造,(こうぞう),"structure,construction",,[sound:構造.wav]
"structure,construction",,構造,(こうぞう),[sound:構造.wav]
交替,(こうたい),"alternation,change,relief,relay,shift",,[sound:交替.wav]
"alternation,change,relief,relay,shift",,交替,(こうたい),[sound:交替.wav]
耕地,(こうち),arable land,,[sound:耕地.wav]
arable land,,耕地,(こうち),[sound:耕地.wav]
交通機関,(こうつうきかん),transportation facilities,,[sound:交通機関.wav]
transportation facilities,,交通機関,(こうつうきかん),[sound:交通機関.wav]
校庭,(こうてい),campus,,[sound:校庭.wav]
campus,,校庭,(こうてい),[sound:校庭.wav]
肯定,(こうてい),"positive,affirmation",,[sound:肯定.wav]
"positive,affirmation",,肯定,(こうてい),[sound:肯定.wav]
高度,(こうど),"altitude,height,advanced",,[sound:高度.wav]
"altitude,height,advanced",,高度,(こうど),[sound:高度.wav]
高等,(こうとう),"high class,high grade",,[sound:高等.wav]
"high class,high grade",,高等,(こうとう),[sound:高等.wav]
合同,(ごうどう),"combination,incorporation,union,amalgamation",,[sound:合同.wav]
"combination,incorporation,union,amalgamation",,合同,(ごうどう),[sound:合同.wav]
後輩,(こうはい),junior (at work or school),,[sound:後輩.wav]
junior (at work or school),,後輩,(こうはい),[sound:後輩.wav]
公表,(こうひょう),"official announcement,proclamation",,[sound:公表.wav]
"official announcement,proclamation",,公表,(こうひょう),[sound:公表.wav]
鉱物,(こうぶつ),mineral,,[sound:鉱物.wav]
mineral,,鉱物,(こうぶつ),[sound:鉱物.wav]
公務,(こうむ),"official business,public business",,[sound:公務.wav]
"official business,public business",,公務,(こうむ),[sound:公務.wav]
項目,(こうもく),item,,[sound:項目.wav]
item,,項目,(こうもく),[sound:項目.wav]
紅葉,(こうよう),(1) (Japanese) maple,,[sound:紅葉.wav]
(1) (Japanese) maple,,紅葉,(こうよう),[sound:紅葉.wav]
合理,(ごうり),rational,,[sound:合理.wav]
rational,,合理,(ごうり),[sound:合理.wav]
交流,(こうりゅう),"alternating current,intercourse,(cultural) exchange,intermingling",,[sound:交流.wav]
"alternating current,intercourse,(cultural) exchange,intermingling",,交流,(こうりゅう),[sound:交流.wav]
合流,(ごうりゅう),"confluence,union,linking up,merge",,[sound:合流.wav]
"confluence,union,linking up,merge",,合流,(ごうりゅう),[sound:合流.wav]
効力,(こうりょく),"effect,efficacy,validity,potency",,[sound:効力.wav]
"effect,efficacy,validity,potency",,効力,(こうりょく),[sound:効力.wav]
超える,(こえる),"to exceed,to cross over,to cross",,[sound:超える.wav]
"to exceed,to cross over,to cross",,超える,(こえる),[sound:超える.wav]
コース,,course,,[sound:コース.wav]
course,,コース,,[sound:コース.wav]
コーラス,,chorus,,[sound:コーラス.wav]
chorus,,コーラス,,[sound:コーラス.wav]
焦がす,(こがす),"to burn,to scorch,to singe,to char",,[sound:焦がす.wav]
"to burn,to scorch,to singe,to char",,焦がす,(こがす),[sound:焦がす.wav]
国王,(こくおう),king,,[sound:国王.wav]
king,,国王,(こくおう),[sound:国王.wav]
国籍,(こくせき),nationality,,[sound:国籍.wav]
nationality,,国籍,(こくせき),[sound:国籍.wav]
国立,(こくりつ),national,,[sound:国立.wav]
national,,国立,(こくりつ),[sound:国立.wav]
ごくろうさま,,Thank you very much for your....,,[sound:ごくろうさま.wav]
Thank you very much for your....,,ごくろうさま,,[sound:ごくろうさま.wav]
焦げる,(こげる),"to burn,to be burned",,[sound:焦げる.wav]
"to burn,to be burned",,焦げる,(こげる),[sound:焦げる.wav]
凍える,(こごえる),"to freeze,to be chilled,to be frozen",,[sound:凍える.wav]
"to freeze,to be chilled,to be frozen",,凍える,(こごえる),[sound:凍える.wav]
心当たり,(こころあたり),"having some knowledge of,happening to know",,[sound:心当たり.wav]
"having some knowledge of,happening to know",,心当たり,(こころあたり),[sound:心当たり.wav]
心得る,(こころえる),"to be informed,to have thorough knowledge",,[sound:心得る.wav]
"to be informed,to have thorough knowledge",,心得る,(こころえる),[sound:心得る.wav]
腰掛け,(こしかけ),"seat,bench",,[sound:腰掛け.wav]
"seat,bench",,腰掛け,(こしかけ),[sound:腰掛け.wav]
腰掛ける,(こしかける),to sit (down),,[sound:腰掛ける.wav]
to sit (down),,腰掛ける,(こしかける),[sound:腰掛ける.wav]
五十音,(ごじゅうおん),the Japanese syllabary,,[sound:五十音.wav]
the Japanese syllabary,,五十音,(ごじゅうおん),[sound:五十音.wav]
胡椒,(こしょう),pepper,,[sound:胡椒.wav]
pepper,,胡椒,(こしょう),[sound:胡椒.wav]
こしらえる,,"to make,to manufacture",,[sound:こしらえる.wav]
"to make,to manufacture",,こしらえる,,[sound:こしらえる.wav]
超す,(こす),"to cross,to pass,to tide over",,[sound:超す.wav]
"to cross,to pass,to tide over",,超す,(こす),[sound:超す.wav]
擦る,(こする),"to rub,to chafe,to file,to frost (glass),to strike (match)",,[sound:擦る.wav]
"to rub,to chafe,to file,to frost (glass),to strike (match)",,擦る,(こする),[sound:擦る.wav]
個体,(こたい),an individual,,[sound:個体.wav]
an individual,,個体,(こたい),[sound:個体.wav]
御馳走,(ごちそう),"feast,treating (someone)",,[sound:御馳走.wav]
"feast,treating (someone)",,御馳走,(ごちそう),[sound:御馳走.wav]
ごちそうさま,,feast,,[sound:ごちそうさま.wav]
feast,,ごちそうさま,,[sound:ごちそうさま.wav]
こちらこそ,,it is I who should say so,,[sound:こちらこそ.wav]
it is I who should say so,,こちらこそ,,[sound:こちらこそ.wav]
小遣い,(こづかい),"personal expenses,pocket money,spending money,incidental expenses,allowance",,[sound:小遣い.wav]
"personal expenses,pocket money,spending money,incidental expenses,allowance",,小遣い,(こづかい),[sound:小遣い.wav]
コック,,"(1) cook (nl:),(2) tap,spigot,faucet,cock",,[sound:コック.wav]
"(1) cook (nl:),(2) tap,spigot,faucet,cock",,コック,,[sound:コック.wav]
こっそり,,"stealthily,secretly",,[sound:こっそり.wav]
"stealthily,secretly",,こっそり,,[sound:こっそり.wav]
古典,(こてん),"old book,classics,classic",,[sound:古典.wav]
"old book,classics,classic",,古典,(こてん),[sound:古典.wav]
琴,(こと),Koto (Japanese harp),,[sound:琴.wav]
Koto (Japanese harp),,琴,(こと),[sound:琴.wav]
言付ける,(ことづける),"to send word,to send a message",,[sound:言付ける.wav]
"to send word,to send a message",,言付ける,(ことづける),[sound:言付ける.wav]
言葉遣い,(ことばづかい),"speech,expression,wording",,[sound:言葉遣い.wav]
"speech,expression,wording",,言葉遣い,(ことばづかい),[sound:言葉遣い.wav]
こないだ,,"the other day,lately,recently",,[sound:こないだ.wav]
"the other day,lately,recently",,こないだ,,[sound:こないだ.wav]
御無沙汰,(ごぶさた),not writing or contacting for a while,,[sound:御無沙汰.wav]
not writing or contacting for a while,,御無沙汰,(ごぶさた),[sound:御無沙汰.wav]
こぼす,,to spill,,[sound:こぼす.wav]
to spill,,こぼす,,[sound:こぼす.wav]
零れる,(こぼれる),"to overflow,to spill",,[sound:零れる.wav]
"to overflow,to spill",,零れる,(こぼれる),[sound:零れる.wav]
ゴム,,"gum,rubber,eraser",,[sound:ゴム.wav]
"gum,rubber,eraser",,ゴム,,[sound:ゴム.wav]
御免,(ごめん),"your pardon,declining (something),dismissal,permission",,[sound:御免.wav]
"your pardon,declining (something),dismissal,permission",,御免,(ごめん),[sound:御免.wav]
ごめんください,,May I come in?,,[sound:ごめんください.wav]
May I come in?,,ごめんください,,[sound:ごめんください.wav]
小指,(こゆび),little finger,,[sound:小指.wav]
little finger,,小指,(こゆび),[sound:小指.wav]
こらえる,,"to bear,to stand,to endure,to put up with",,[sound:こらえる.wav]
"to bear,to stand,to endure,to put up with",,こらえる,,[sound:こらえる.wav]
娯楽,(ごらく),"pleasure,amusement",,[sound:娯楽.wav]
"pleasure,amusement",,娯楽,(ごらく),[sound:娯楽.wav]
御覧,(ごらん),"(hon) look,inspection,try",,[sound:御覧.wav]
"(hon) look,inspection,try",,御覧,(ごらん),[sound:御覧.wav]
コレクション,,"(1) collection,(2) correction",,[sound:コレクション.wav]
"(1) collection,(2) correction",,コレクション,,[sound:コレクション.wav]
転がす,(ころがす),to roll,,[sound:転がす.wav]
to roll,,転がす,(ころがす),[sound:転がす.wav]
転がる,(ころがる),"to roll,to tumble",,[sound:転がる.wav]
"to roll,to tumble",,転がる,(ころがる),[sound:転がる.wav]
紺,(こん),"navy blue,deep blue",,[sound:紺.wav]
"navy blue,deep blue",,紺,(こん),[sound:紺.wav]
コンクール,,contest (fr: concours),,[sound:コンクール.wav]
contest (fr: concours),,コンクール,,[sound:コンクール.wav]
コンクリート,,concrete,,[sound:コンクリート.wav]
concrete,,コンクリート,,[sound:コンクリート.wav]
混合,(こんごう),"mixing,mixture",,[sound:混合.wav]
"mixing,mixture",,混合,(こんごう),[sound:混合.wav]
コンセント,,"(1) consent,(2) concentric",,[sound:コンセント.wav]
"(1) consent,(2) concentric",,コンセント,,[sound:コンセント.wav]
献立,(こんだて),"menu,program,schedule",,[sound:献立.wav]
"menu,program,schedule",,献立,(こんだて),[sound:献立.wav]
こんばんは,,good evening,,[sound:こんばんは.wav]
good evening,,こんばんは,,[sound:こんばんは.wav]
サークル,,"circle,sports club (i.e. at a company)",,[sound:サークル.wav]
"circle,sports club (i.e. at a company)",,サークル,,[sound:サークル.wav]
在学,(ざいがく),(enrolled) in school,,[sound:在学.wav]
(enrolled) in school,,在学,(ざいがく),[sound:在学.wav]
再三,(さいさん),"again and again,repeatedly",,[sound:再三.wav]
"again and again,repeatedly",,再三,(さいさん),[sound:再三.wav]
祭日,(さいじつ),"national holiday,festival day",,[sound:祭日.wav]
"national holiday,festival day",,祭日,(さいじつ),[sound:祭日.wav]
催促,(さいそく),"request,demand,claim,urge (action),press for",,[sound:催促.wav]
"request,demand,claim,urge (action),press for",,催促,(さいそく),[sound:催促.wav]
採点,(さいてん),"marking,grading,looking over",,[sound:採点.wav]
"marking,grading,looking over",,採点,(さいてん),[sound:採点.wav]
災難,(さいなん),"calamity,misfortune",,[sound:災難.wav]
"calamity,misfortune",,災難,(さいなん),[sound:災難.wav]
裁縫,(さいほう),sewing,,[sound:裁縫.wav]
sewing,,裁縫,(さいほう),[sound:裁縫.wav]
材木,(ざいもく),"lumber,timber",,[sound:材木.wav]
"lumber,timber",,材木,(ざいもく),[sound:材木.wav]
サイレン,,siren,,[sound:サイレン.wav]
siren,,サイレン,,[sound:サイレン.wav]
逆さ,(さかさ),"reverse,inversion,upside down",,[sound:逆さ.wav]
"reverse,inversion,upside down",,逆さ,(さかさ),[sound:逆さ.wav]
逆様,(さかさま),"inversion,upside down",,[sound:逆様.wav]
