ftitle,fsubtitle,btitle,bsubtitle,audio
"declaration, statement, proclamation",,声明,(せいめい),[sound:声明.wav]
姓名,(せいめい),full name,,[sound:姓名.wav]
full name,,姓名,(せいめい),[sound:姓名.wav]
制約,(せいやく),"limitation, restriction, condition, constraints",,[sound:制約.wav]
"limitation, restriction, condition, constraints",,制約,(せいやく),[sound:制約.wav]
生理,(せいり),"physiology, menses",,[sound:生理.wav]
"physiology, menses",,生理,(せいり),[sound:生理.wav]
勢力,(せいりょく),"influence, power, might, strength, potency, force, energy",,[sound:勢力.wav]
"influence, power, might, strength, potency, force, energy",,勢力,(せいりょく),[sound:勢力.wav]
整列,(せいれつ),"stand in a row, form a line",,[sound:整列.wav]
"stand in a row, form a line",,整列,(せいれつ),[sound:整列.wav]
急かす,(せかす),"to hurry, to urge on",,[sound:急かす.wav]
"to hurry, to urge on",,急かす,(せかす),[sound:急かす.wav]
伜,(せがれ),"son, my son",,[sound:伜.wav]
"son, my son",,伜,(せがれ),[sound:伜.wav]
責務,(せきむ),"duty, obligation",,[sound:責務.wav]
"duty, obligation",,責務,(せきむ),[sound:責務.wav]
世辞,(せじ),"flattery, compliment",,[sound:世辞.wav]
"flattery, compliment",,世辞,(せじ),[sound:世辞.wav]
世帯,(せたい),household,,[sound:世帯.wav]
household,,世帯,(せたい),[sound:世帯.wav]
世代,(せだい),"generation, the world, the age",,[sound:世代.wav]
"generation, the world, the age",,世代,(せだい),[sound:世代.wav]
切開,(せっかい),"clearing (land), opening up, cutting through",,[sound:切開.wav]
"clearing (land), opening up, cutting through",,切開,(せっかい),[sound:切開.wav]
接触,(せっしょく),"touch, contact",,[sound:接触.wav]
"touch, contact",,接触,(せっしょく),[sound:接触.wav]
設置,(せっち),"establishment, institution",,[sound:設置.wav]
"establishment, institution",,設置,(せっち),[sound:設置.wav]
折衷,(せっちゅう),"compromise, cross, blending, eclecticism",,[sound:折衷.wav]
"compromise, cross, blending, eclecticism",,折衷,(せっちゅう),[sound:折衷.wav]
設定,(せってい),"establishment, creation",,[sound:設定.wav]
"establishment, creation",,設定,(せってい),[sound:設定.wav]
説得,(せっとく),persuasion,,[sound:説得.wav]
persuasion,,説得,(せっとく),[sound:説得.wav]
節,(せつ),"node, section, occasion, time",,[sound:節.wav]
"node, section, occasion, time",,節,(せつ),[sound:節.wav]
切実,(せつじつ),"compelling, serious, severe, acute, earnest, pressing, urgent",,[sound:切実.wav]
"compelling, serious, severe, acute, earnest, pressing, urgent",,切実,(せつじつ),[sound:切実.wav]
接続詞,(せつぞくし),conjunction,,[sound:接続詞.wav]
conjunction,,接続詞,(せつぞくし),[sound:接続詞.wav]
切ない,(せつない),"painful, trying, oppressive, suffocating",,[sound:切ない.wav]
"painful, trying, oppressive, suffocating",,切ない,(せつない),[sound:切ない.wav]
設立,(せつりつ),"establishment, foundation, institution",,[sound:設立.wav]
"establishment, foundation, institution",,設立,(せつりつ),[sound:設立.wav]
攻め,(せめ),"attack, offence",,[sound:攻め.wav]
"attack, offence",,攻め,(せめ),[sound:攻め.wav]
世論,(せろん),public opinion,,[sound:世論.wav]
public opinion,,世論,(せろん),[sound:世論.wav]
仙,(せん),"hermit, wizard",,[sound:仙.wav]
"hermit, wizard",,仙,(せん),[sound:仙.wav]
前,(ぜん),before,,[sound:前.wav]
before,,前,(ぜん),[sound:前.wav]
繊維,(せんい),"fibre, fiber, textile",,[sound:繊維.wav]
"fibre, fiber, textile",,繊維,(せんい),[sound:繊維.wav]
選挙,(せんきょ),election,,[sound:選挙.wav]
election,,選挙,(せんきょ),[sound:選挙.wav]
宣教,(せんきょう),religious mission,,[sound:宣教.wav]
religious mission,,宣教,(せんきょう),[sound:宣教.wav]
宣言,(せんげん),"declaration, proclamation, announcement",,[sound:宣言.wav]
"declaration, proclamation, announcement",,宣言,(せんげん),[sound:宣言.wav]
先行,(せんこう),"preceding, going first",,[sound:先行.wav]
"preceding, going first",,先行,(せんこう),[sound:先行.wav]
選考,(せんこう),"selection, screening",,[sound:選考.wav]
"selection, screening",,選考,(せんこう),[sound:選考.wav]
戦災,(せんさい),war damage,,[sound:戦災.wav]
war damage,,戦災,(せんさい),[sound:戦災.wav]
専修,(せんしゅう),specialization,,[sound:専修.wav]
specialization,,専修,(せんしゅう),[sound:専修.wav]
戦術,(せんじゅつ),tactics,,[sound:戦術.wav]
tactics,,戦術,(せんじゅつ),[sound:戦術.wav]
潜水,(せんすい),diving,,[sound:潜水.wav]
diving,,潜水,(せんすい),[sound:潜水.wav]
先先月,(せんせんげつ),month before last,,[sound:先先月.wav]
month before last,,先先月,(せんせんげつ),[sound:先先月.wav]
先先週,(せんせんしゅう),week before last,,[sound:先先週.wav]
week before last,,先先週,(せんせんしゅう),[sound:先先週.wav]
先代,(せんだい),"family predecessor, previous age, previous generation",,[sound:先代.wav]
"family predecessor, previous age, previous generation",,先代,(せんだい),[sound:先代.wav]
先だって,(せんだって),"recently, the other day",,[sound:先だって.wav]
"recently, the other day",,先だって,(せんだって),[sound:先だって.wav]
先着,(せんちゃく),first arrival,,[sound:先着.wav]
first arrival,,先着,(せんちゃく),[sound:先着.wav]
先天的,(せんてんてき),"a priori, inborn, innate, inherent, congenital, hereditary",,[sound:先天的.wav]
"a priori, inborn, innate, inherent, congenital, hereditary",,先天的,(せんてんてき),[sound:先天的.wav]
戦闘,(せんとう),"battle, fight, combat",,[sound:戦闘.wav]
"battle, fight, combat",,戦闘,(せんとう),[sound:戦闘.wav]
潜入,(せんにゅう),"infiltration, sneaking in",,[sound:潜入.wav]
"infiltration, sneaking in",,潜入,(せんにゅう),[sound:潜入.wav]
船舶,(せんぱく),ship,,[sound:船舶.wav]
ship,,船舶,(せんぱく),[sound:船舶.wav]
専用,(せんよう),"exclusive use, personal use",,[sound:専用.wav]
"exclusive use, personal use",,専用,(せんよう),[sound:専用.wav]
占領,(せんりょう),"occupation, capture, possession, have a room to oneself",,[sound:占領.wav]
"occupation, capture, possession, have a room to oneself",,占領,(せんりょう),[sound:占領.wav]
戦力,(せんりょく),war potential,,[sound:戦力.wav]
war potential,,戦力,(せんりょく),[sound:戦力.wav]
税務署,(ぜいむしょ),tax office,,[sound:税務署.wav]
tax office,,税務署,(ぜいむしょ),[sound:税務署.wav]
是正,(ぜせい),"correction, revision",,[sound:是正.wav]
"correction, revision",,是正,(ぜせい),[sound:是正.wav]
絶版,(ぜっぱん),out of print,,[sound:絶版.wav]
out of print,,絶版,(ぜっぱん),[sound:絶版.wav]
絶望,(ぜつぼう),"despair, hopelessness",,[sound:絶望.wav]
"despair, hopelessness",,絶望,(ぜつぼう),[sound:絶望.wav]
是非とも,(ぜひとも),by all means (with sense of not taking no for an answer),,[sound:是非とも.wav]
by all means (with sense of not taking no for an answer),,是非とも,(ぜひとも),[sound:是非とも.wav]
膳,(ぜん),"(small) table, tray, meal",,[sound:膳.wav]
"(small) table, tray, meal",,膳,(ぜん),[sound:膳.wav]
禅,(ぜん),Zen (Buddhism),,[sound:禅.wav]
Zen (Buddhism),,禅,(ぜん),[sound:禅.wav]
全快,(ぜんかい),complete recovery of health,,[sound:全快.wav]
complete recovery of health,,全快,(ぜんかい),[sound:全快.wav]
全盛,(ぜんせい),height of prosperity,,[sound:全盛.wav]
height of prosperity,,全盛,(ぜんせい),[sound:全盛.wav]
前提,(ぜんてい),"preamble, premise, reason, prerequisite",,[sound:前提.wav]
"preamble, premise, reason, prerequisite",,前提,(ぜんてい),[sound:前提.wav]
前途,(ぜんと),"future prospects, outlook, the journey ahead",,[sound:前途.wav]
"future prospects, outlook, the journey ahead",,前途,(ぜんと),[sound:前途.wav]
全滅,(ぜんめつ),annihilation,,[sound:全滅.wav]
annihilation,,全滅,(ぜんめつ),[sound:全滅.wav]
善良,(ぜんりょう),"goodness, excellence, virtue",,[sound:善良.wav]
"goodness, excellence, virtue",,善良,(ぜんりょう),[sound:善良.wav]
前例,(ぜんれい),precedent,,[sound:前例.wav]
precedent,,前例,(ぜんれい),[sound:前例.wav]
僧,(そう),"monk, priest",,[sound:僧.wav]
"monk, priest",,僧,(そう),[sound:僧.wav]
沿う,(そう),"to run along, to follow",,[sound:沿う.wav]
"to run along, to follow",,沿う,(そう),[sound:沿う.wav]
添う,(そう),"to accompany, to become married, to comply with",,[sound:添う.wav]
"to accompany, to become married, to comply with",,添う,(そう),[sound:添う.wav]
総,(そう),"whole, all, general, gross",,[sound:総.wav]
"whole, all, general, gross",,総,(そう),[sound:総.wav]
相応,(そうおう),"suitability, fitness",,[sound:相応.wav]
"suitability, fitness",,相応,(そうおう),[sound:相応.wav]
総会,(そうかい),general meeting,,[sound:総会.wav]
general meeting,,総会,(そうかい),[sound:総会.wav]
創刊,(そうかん),"launching (e.g. newspaper), first issue",,[sound:創刊.wav]
"launching (e.g. newspaper), first issue",,創刊,(そうかん),[sound:創刊.wav]
送金,(そうきん),"remittance, sending money",,[sound:送金.wav]
"remittance, sending money",,送金,(そうきん),[sound:送金.wav]
走行,(そうこう),"running a wheeled vehicle (e.g. car), traveling",,[sound:走行.wav]
"running a wheeled vehicle (e.g. car), traveling",,走行,(そうこう),[sound:走行.wav]
総合,(そうごう),"synthesis, coordination, putting together, integration, composite",,[sound:総合.wav]
"synthesis, coordination, putting together, integration, composite",,総合,(そうごう),[sound:総合.wav]
捜査,(そうさ),"search (esp. in criminal investigations), investigation",,[sound:捜査.wav]
"search (esp. in criminal investigations), investigation",,捜査,(そうさ),[sound:捜査.wav]
捜索,(そうさく),"search (esp. for someone or something missing), investigation",,[sound:捜索.wav]
"search (esp. for someone or something missing), investigation",,捜索,(そうさく),[sound:捜索.wav]
然うして,(そうして),"and, like that",,[sound:然うして.wav]
"and, like that",,然うして,(そうして),[sound:然うして.wav]
装飾,(そうしょく),ornament,,[sound:装飾.wav]
ornament,,装飾,(そうしょく),[sound:装飾.wav]
操縦,(そうじゅう),"management, handling, control, manipulation",,[sound:操縦.wav]
"management, handling, control, manipulation",,操縦,(そうじゅう),[sound:操縦.wav]
創造,(そうぞう),creation,,[sound:創造.wav]
creation,,創造,(そうぞう),[sound:創造.wav]
壮大,(そうだい),"magnificent, grand, majestic, splendid",,[sound:壮大.wav]
"magnificent, grand, majestic, splendid",,壮大,(そうだい),[sound:壮大.wav]
騒動,(そうどう),"strife, riot, rebellion",,[sound:騒動.wav]
"strife, riot, rebellion",,騒動,(そうどう),[sound:騒動.wav]
遭難,(そうなん),"disaster, shipwreck, accident",,[sound:遭難.wav]
"disaster, shipwreck, accident",,遭難,(そうなん),[sound:遭難.wav]
相場,(そうば),"market price, speculation, estimation",,[sound:相場.wav]
"market price, speculation, estimation",,相場,(そうば),[sound:相場.wav]
装備,(そうび),equipment,,[sound:装備.wav]
equipment,,装備,(そうび),[sound:装備.wav]
創立,(そうりつ),"establishment, founding, organization",,[sound:創立.wav]
"establishment, founding, organization",,創立,(そうりつ),[sound:創立.wav]
添える,(そえる),"to add to, to attach, to append, to accompany, to garnish, to imitate, to annex",,[sound:添える.wav]
"to add to, to attach, to append, to accompany, to garnish, to imitate, to annex",,添える,(そえる),[sound:添える.wav]
即座に,(そくざに),"immediately, right away",,[sound:即座に.wav]
"immediately, right away",,即座に,(そくざに),[sound:即座に.wav]
促進,(そくしん),"promotion, acceleration, encouragement, facilitation, spurring on",,[sound:促進.wav]
"promotion, acceleration, encouragement, facilitation, spurring on",,促進,(そくしん),[sound:促進.wav]
即する,(そくする),"to conform to, to agree with, to be adapted to, to be based on",,[sound:即する.wav]
"to conform to, to agree with, to be adapted to, to be based on",,即する,(そくする),[sound:即する.wav]
束縛,(そくばく),"restraint, shackles, restriction, confinement, binding",,[sound:束縛.wav]
"restraint, shackles, restriction, confinement, binding",,束縛,(そくばく),[sound:束縛.wav]
側面,(そくめん),"side, flank, sidelight, lateral",,[sound:側面.wav]
"side, flank, sidelight, lateral",,側面,(そくめん),[sound:側面.wav]
其処で,(そこで),"so (conj), accordingly, now, then, thereupon",,[sound:其処で.wav]
"so (conj), accordingly, now, then, thereupon",,其処で,(そこで),[sound:其処で.wav]
損なう,(そこなう),"to harm, to hurt, to injure, to damage, to fail in doing",,[sound:損なう.wav]
"to harm, to hurt, to injure, to damage, to fail in doing",,損なう,(そこなう),[sound:損なう.wav]
其処ら,(そこら),"everywhere, somewhere, approximately, that area, around there",,[sound:其処ら.wav]
"everywhere, somewhere, approximately, that area, around there",,其処ら,(そこら),[sound:其処ら.wav]
素材,(そざい),"raw materials, subject matter",,[sound:素材.wav]
"raw materials, subject matter",,素材,(そざい),[sound:素材.wav]
阻止,(そし),"obstruction, check, hindrance, prevention, interdiction",,[sound:阻止.wav]
"obstruction, check, hindrance, prevention, interdiction",,阻止,(そし),[sound:阻止.wav]
然して,(そして),and,,[sound:然して.wav]
and,,然して,(そして),[sound:然して.wav]
訴訟,(そしょう),"litigation, lawsuit",,[sound:訴訟.wav]
"litigation, lawsuit",,訴訟,(そしょう),[sound:訴訟.wav]
育ち,(そだち),"breeding, growth",,[sound:育ち.wav]
"breeding, growth",,育ち,(そだち),[sound:育ち.wav]
措置,(そち),"measure, step",,[sound:措置.wav]
"measure, step",,措置,(そち),[sound:措置.wav]
其方,(そちら),"over there, the other",,[sound:其方.wav]
"over there, the other",,其方,(そちら),[sound:其方.wav]
素っ気ない,(そっけない),"cold, short, curt, blunt",,[sound:素っ気ない.wav]
"cold, short, curt, blunt",,素っ気ない,(そっけない),[sound:素っ気ない.wav]
率直,(そっちょく),"frankness, candour, openheartedness",,[sound:率直.wav]
"frankness, candour, openheartedness",,率直,(そっちょく),[sound:率直.wav]
外方,(そっぽ),look (or turn) the other way,,[sound:外方.wav]
look (or turn) the other way,,外方,(そっぽ),[sound:外方.wav]
備え付ける,(そなえつける),"to provide, to furnish, to equip, to install",,[sound:備え付ける.wav]
"to provide, to furnish, to equip, to install",,備え付ける,(そなえつける),[sound:備え付ける.wav]
備わる,(そなわる),"to be furnished with, to be endowed with, to possess, to be among, to be one of, to be possessed of",,[sound:備わる.wav]
"to be furnished with, to be endowed with, to possess, to be among, to be one of, to be possessed of",,備わる,(そなわる),[sound:備わる.wav]
園,(その),"garden, park, plantation",,[sound:園.wav]
"garden, park, plantation",,園,(その),[sound:園.wav]
その上,(そのうえ),"in addition, furthermore",,[sound:その上.wav]
"in addition, furthermore",,その上,(そのうえ),[sound:その上.wav]
その内,(そのうち),"eventually, sooner or later, of the previously mentioned",,[sound:その内.wav]
"eventually, sooner or later, of the previously mentioned",,その内,(そのうち),[sound:その内.wav]
その為,(そのため),"hence, for that reason",,[sound:その為.wav]
"hence, for that reason",,その為,(そのため),[sound:その為.wav]
その外,(そのほか),"besides, in addition, the rest",,[sound:その外.wav]
"besides, in addition, the rest",,その外,(そのほか),[sound:その外.wav]
其の儘,(そのまま),"without change, as it is (i.e. now)",,[sound:其の儘.wav]
"without change, as it is (i.e. now)",,其の儘,(そのまま),[sound:其の儘.wav]
聳える,(そびえる),"to rise, to tower, to soar",,[sound:聳える.wav]
"to rise, to tower, to soar",,聳える,(そびえる),[sound:聳える.wav]
素朴,(そぼく),"simplicity, artlessness, naivete",,[sound:素朴.wav]
"simplicity, artlessness, naivete",,素朴,(そぼく),[sound:素朴.wav]
染まる,(そまる),to dye,,[sound:染まる.wav]
to dye,,染まる,(そまる),[sound:染まる.wav]
背く,(そむく),"to run counter to, to go against, to disobey, to infringe",,[sound:背く.wav]
"to run counter to, to go against, to disobey, to infringe",,背く,(そむく),[sound:背く.wav]
染める,(そめる),"to dye, to colour",,[sound:染める.wav]
"to dye, to colour",,染める,(そめる),[sound:染める.wav]
逸らす,(そらす),"to turn away, to avert",,[sound:逸らす.wav]
"to turn away, to avert",,逸らす,(そらす),[sound:逸らす.wav]
反り,(そり),"warp, curvature, curve, arch",,[sound:反り.wav]
"warp, curvature, curve, arch",,反り,(そり),[sound:反り.wav]
其れ,(それ),"it, that",,[sound:其れ.wav]
"it, that",,其れ,(それ),[sound:其れ.wav]
其れから,(それから),"and then, after that",,[sound:其れから.wav]
"and then, after that",,其れから,(それから),[sound:其れから.wav]
其れで,(それで),"and (conj), thereupon, because of that",,[sound:其れで.wav]
"and (conj), thereupon, because of that",,其れで,(それで),[sound:其れで.wav]
それでは,,"in that situation, well then ...",,[sound:それでは.wav]
"in that situation, well then ...",,それでは,,[sound:それでは.wav]
其れでも,(それでも),"but (still), and yet, nevertheless, even so, notwithstanding",,[sound:其れでも.wav]
"but (still), and yet, nevertheless, even so, notwithstanding",,其れでも,(それでも),[sound:其れでも.wav]
其れとも,(それとも),"or, or else",,[sound:其れとも.wav]
"or, or else",,其れとも,(それとも),[sound:其れとも.wav]
其れに,(それに),"besides, moreover",,[sound:其れに.wav]
"besides, moreover",,其れに,(それに),[sound:其れに.wav]
其れ程,(それほど),"to that degree, extent",,[sound:其れ程.wav]
"to that degree, extent",,其れ程,(それほど),[sound:其れ程.wav]
其れ故,(それゆえ),"therefore, for that reason, so",,[sound:其れ故.wav]
"therefore, for that reason, so",,其れ故,(それゆえ),[sound:其れ故.wav]
揃い,(そろい),"set, suit, uniform",,[sound:揃い.wav]
"set, suit, uniform",,揃い,(そろい),[sound:揃い.wav]
損失,(そんしつ),loss,,[sound:損失.wav]
loss,,損失,(そんしつ),[sound:損失.wav]
存続,(そんぞく),"duration, continuance",,[sound:存続.wav]
"duration, continuance",,存続,(そんぞく),[sound:存続.wav]
沿い,(ぞい),along,,[sound:沿い.wav]
along,,沿い,(ぞい),[sound:沿い.wav]
像,(ぞう),"statue, image, figure, picture, portrait",,[sound:像.wav]
"statue, image, figure, picture, portrait",,像,(ぞう),[sound:像.wav]
増強,(ぞうきょう),"augment, reinforce, increase",,[sound:増強.wav]
"augment, reinforce, increase",,増強,(ぞうきょう),[sound:増強.wav]
蔵相,(ぞうしょう),Minister of Finance,,[sound:蔵相.wav]
Minister of Finance,,蔵相,(ぞうしょう),[sound:蔵相.wav]
増進,(ぞうしん),"promoting, increase, advance",,[sound:増進.wav]
"promoting, increase, advance",,増進,(ぞうしん),[sound:増進.wav]
ぞんざい,,"rude, careless, slovenly",,[sound:ぞんざい.wav]
"rude, careless, slovenly",,ぞんざい,,[sound:ぞんざい.wav]
他意,(たい),"ill will, malice, another intention, secret purpose, ulterior motive, fickleness, double-mindedness",,[sound:他意.wav]
"ill will, malice, another intention, secret purpose, ulterior motive, fickleness, double-mindedness",,他意,(たい),[sound:他意.wav]
対応,(たいおう),"interaction, correspondence, coping with, dealing with",,[sound:対応.wav]
"interaction, correspondence, coping with, dealing with",,対応,(たいおう),[sound:対応.wav]
退化,(たいか),"degeneration, retrogression",,[sound:退化.wav]
"degeneration, retrogression",,退化,(たいか),[sound:退化.wav]
体格,(たいかく),"physique, constitution",,[sound:体格.wav]
"physique, constitution",,体格,(たいかく),[sound:体格.wav]
大概,(たいがい),"in general, mainly",,[sound:大概.wav]
"in general, mainly",,大概,(たいがい),[sound:大概.wav]
退学,(たいがく),dropping out of school,,[sound:退学.wav]
dropping out of school,,退学,(たいがく),[sound:退学.wav]
大金,(たいきん),great cost,,[sound:大金.wav]
great cost,,大金,(たいきん),[sound:大金.wav]
待遇,(たいぐう),"treatment, reception",,[sound:待遇.wav]
"treatment, reception",,待遇,(たいぐう),[sound:待遇.wav]
対決,(たいけつ),"confrontation, showdown",,[sound:対決.wav]
"confrontation, showdown",,対決,(たいけつ),[sound:対決.wav]
体験,(たいけん),personal experience,,[sound:体験.wav]
personal experience,,体験,(たいけん),[sound:体験.wav]
対抗,(たいこう),"opposition, antagonism",,[sound:対抗.wav]
"opposition, antagonism",,対抗,(たいこう),[sound:対抗.wav]
対して,(たいして),"for, in regard to, per",,[sound:対して.wav]
"for, in regard to, per",,対して,(たいして),[sound:対して.wav]
大衆,(たいしゅう),general public,,[sound:大衆.wav]
general public,,大衆,(たいしゅう),[sound:大衆.wav]
対処,(たいしょ),"deal with, cope",,[sound:対処.wav]
"deal with, cope",,対処,(たいしょ),[sound:対処.wav]
退職,(たいしょく),retirement (from office),,[sound:退職.wav]
retirement (from office),,退職,(たいしょく),[sound:退職.wav]
退治,(たいじ),extermination,,[sound:退治.wav]
extermination,,退治,(たいじ),[sound:退治.wav]
態勢,(たいせい),"attitude, conditions, preparations",,[sound:態勢.wav]
"attitude, conditions, preparations",,態勢,(たいせい),[sound:態勢.wav]
対談,(たいだん),"talk, dialogue, conversation",,[sound:対談.wav]
"talk, dialogue, conversation",,対談,(たいだん),[sound:対談.wav]
対等,(たいとう),equivalent,,[sound:対等.wav]
equivalent,,対等,(たいとう),[sound:対等.wav]
滞納,(たいのう),"non-payment, default",,[sound:滞納.wav]
"non-payment, default",,滞納,(たいのう),[sound:滞納.wav]
対比,(たいひ),"contrast, comparison",,[sound:対比.wav]
"contrast, comparison",,対比,(たいひ),[sound:対比.wav]
大部,(たいぶ),"most (e.g. most part), greater, fairly, a good deal, much",,[sound:大部.wav]
"most (e.g. most part), greater, fairly, a good deal, much",,大部,(たいぶ),[sound:大部.wav]
対辺,(たいへん),(geometrical) opposite side,,[sound:対辺.wav]
(geometrical) opposite side,,対辺,(たいへん),[sound:対辺.wav]
待望,(たいぼう),expectant waiting,,[sound:待望.wav]
expectant waiting,,待望,(たいぼう),[sound:待望.wav]
怠慢,(たいまん),"negligence, procrastination, carelessness",,[sound:怠慢.wav]
"negligence, procrastination, carelessness",,怠慢,(たいまん),[sound:怠慢.wav]
対面,(たいめん),"interview, meeting",,[sound:対面.wav]
"interview, meeting",,対面,(たいめん),[sound:対面.wav]
体力,(たいりょく),physical strength,,[sound:体力.wav]
physical strength,,体力,(たいりょく),[sound:体力.wav]
対話,(たいわ),"interactive, interaction, conversation, dialogue",,[sound:対話.wav]
"interactive, interaction, conversation, dialogue",,対話,(たいわ),[sound:対話.wav]
耐える,(たえる),"to bear, to endure",,[sound:耐える.wav]
"to bear, to endure",,耐える,(たえる),[sound:耐える.wav]
絶える,(たえる),"to die out, to peter out, to become extinct",,[sound:絶える.wav]
"to die out, to peter out, to become extinct",,絶える,(たえる),[sound:絶える.wav]
堪える,(たえる),"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",,[sound:堪える.wav]
"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t",,堪える,(たえる),[sound:堪える.wav]
高,(たか),"quantity, amount, volume, number, amount of money",,[sound:高.wav]
"quantity, amount, volume, number, amount of money",,高,(たか),[sound:高.wav]
高まる,(たかまる),"to rise, to swell, to be promoted",,[sound:高まる.wav]
"to rise, to swell, to be promoted",,高まる,(たかまる),[sound:高まる.wav]
焚火,(たきび),(open) fire,,[sound:焚火.wav]
(open) fire,,焚火,(たきび),[sound:焚火.wav]
沢山,(たくさん),"many, a lot, much",,[sound:沢山.wav]
"many, a lot, much",,沢山,(たくさん),[sound:沢山.wav]
逞しい,(たくましい),"burly, strong, sturdy",,[sound:逞しい.wav]
"burly, strong, sturdy",,逞しい,(たくましい),[sound:逞しい.wav]
巧み,(たくみ),"skill, cleverness",,[sound:巧み.wav]
"skill, cleverness",,巧み,(たくみ),[sound:巧み.wav]
類,(たぐい),a kind,,[sound:類.wav]
a kind,,類,(たぐい),[sound:類.wav]
丈,(たけ),"height, stature, length, measure, all (one has)",,[sound:丈.wav]
"height, stature, length, measure, all (one has)",,丈,(たけ),[sound:丈.wav]
足し算,(たしざん),addition,,[sound:足し算.wav]
addition,,足し算,(たしざん),[sound:足し算.wav]
多数決,(たすうけつ),majority rule,,[sound:多数決.wav]
majority rule,,多数決,(たすうけつ),[sound:多数決.wav]
助け,(たすけ),assistance,,[sound:助け.wav]
assistance,,助け,(たすけ),[sound:助け.wav]
携わる,(たずさわる),"to participate, to take part",,[sound:携わる.wav]
"to participate, to take part",,携わる,(たずさわる),[sound:携わる.wav]
漂う,(ただよう),"to drift about, to float, to hang in air",,[sound:漂う.wav]
"to drift about, to float, to hang in air",,漂う,(ただよう),[sound:漂う.wav]
館,(たち),"1. mansion, small castle",,[sound:館.wav]
"1. mansion, small castle",,館,(たち),[sound:館.wav]
立方,(たちかた),dancing (geisha),,[sound:立方.wav]
dancing (geisha),,立方,(たちかた),[sound:立方.wav]
忽ち,(たちまち),"at once, in a moment, suddenly, all at once",,[sound:忽ち.wav]
"at once, in a moment, suddenly, all at once",,忽ち,(たちまち),[sound:忽ち.wav]
立ち寄る,(たちよる),"to stop by, to drop in for a short visit",,[sound:立ち寄る.wav]
"to stop by, to drop in for a short visit",,立ち寄る,(たちよる),[sound:立ち寄る.wav]
達者,(たっしゃ),"skillful, in good health",,[sound:達者.wav]
"skillful, in good health",,達者,(たっしゃ),[sound:達者.wav]
達成,(たっせい),achievement,,[sound:達成.wav]
achievement,,達成,(たっせい),[sound:達成.wav]
尊い,(たっとい),"precious, valuable, priceless, noble, exalted, sacred",,[sound:尊い.wav]
"precious, valuable, priceless, noble, exalted, sacred",,尊い,(たっとい),[sound:尊い.wav]
貴い,(たっとい),"precious, valuable, priceless, noble, exalted, sacred",,[sound:貴い.wav]
"precious, valuable, priceless, noble, exalted, sacred",,貴い,(たっとい),[sound:貴い.wav]
尊ぶ,(たっとぶ),"to value, to prize, to esteem",,[sound:尊ぶ.wav]
"to value, to prize, to esteem",,尊ぶ,(たっとぶ),[sound:尊ぶ.wav]
絶つ,(たつ),"to sever, to cut off, to suppress, to abstain (from)",,[sound:絶つ.wav]
"to sever, to cut off, to suppress, to abstain (from)",,絶つ,(たつ),[sound:絶つ.wav]
盾,(たて),"shield, buckler, escutcheon, pretext",,[sound:盾.wav]
"shield, buckler, escutcheon, pretext",,盾,(たて),[sound:盾.wav]
建前,(たてまえ),"face, official stance, public position or attitude (as opposed to private thoughts)",,[sound:建前.wav]
"face, official stance, public position or attitude (as opposed to private thoughts)",,建前,(たてまえ),[sound:建前.wav]
奉る,(たてまつる),"to offer, to present, to revere, to do respectfully",,[sound:奉る.wav]
"to offer, to present, to revere, to do respectfully",,奉る,(たてまつる),[sound:奉る.wav]
仮令,(たとえ),"example, even if, if, though, although",,[sound:仮令.wav]
"example, even if, if, though, although",,仮令,(たとえ),[sound:仮令.wav]
他動詞,(たどうし),transitive verb (direct obj),,[sound:他動詞.wav]
transitive verb (direct obj),,他動詞,(たどうし),[sound:他動詞.wav]
辿り着く,(たどりつく),"to grope along to, to struggle on to, to arrive somewhere after a struggle",,[sound:辿り着く.wav]
"to grope along to, to struggle on to, to arrive somewhere after a struggle",,辿り着く,(たどりつく),[sound:辿り着く.wav]
辿る,(たどる),"to follow (road), to pursue (course), to follow up",,[sound:辿る.wav]
"to follow (road), to pursue (course), to follow up",,辿る,(たどる),[sound:辿る.wav]
掌,(たなごころ),the palm,,[sound:掌.wav]
the palm,,掌,(たなごころ),[sound:掌.wav]
楽しむ,(たのしむ),to enjoy oneself,,[sound:楽しむ.wav]
to enjoy oneself,,楽しむ,(たのしむ),[sound:楽しむ.wav]
頼み,(たのみ),"request, favor, reliance, dependence",,[sound:頼み.wav]
"request, favor, reliance, dependence",,頼み,(たのみ),[sound:頼み.wav]
煙草,(たばこ),"(pt:) (n) (uk) tobacco (pt: tabaco), cigarettes",,[sound:煙草.wav]
"(pt:) (n) (uk) tobacco (pt: tabaco), cigarettes",,煙草,(たばこ),[sound:煙草.wav]
度々,(たびたび),"often, repeatedly, frequently",,[sound:度々.wav]
"often, repeatedly, frequently",,度々,(たびたび),[sound:度々.wav]
他方,(たほう),"another side, different direction, (on) the other hand",,[sound:他方.wav]
"another side, different direction, (on) the other hand",,他方,(たほう),[sound:他方.wav]
多忙,(たぼう),"busy, pressure of work",,[sound:多忙.wav]
"busy, pressure of work",,多忙,(たぼう),[sound:多忙.wav]
給う,(たまう),"to receive, to grant",,[sound:給う.wav]
